2013,Entropy-based test generation for improved fault localization.,UFPE,José Campos; Rui Abreu; Gordon Fraser; Marcelo d'Amorim
2015,Static Analysis of Implicit Control Flow: Resolving Java Reflection and Android Intents (T).,UFPE,Paulo Barros; René Just; Suzanne Millstein; Paul Vines; Werner Dietl; Marcelo d'Amorim; Michael D. Ernst
2017,Test suite parallelization in open-source projects: a study on its usage and impact.,UFPE,Jeanderson Candido; Luis Melo; Marcelo d'Amorim
2017,Understanding and overcoming parallelism bottlenecks in ForkJoin applications.,UFPE; UFPA,Gustavo Pinto 0001; Anthony Canino; Fernando Castor; Guoqing (Harry) Xu; Yu David Liu
2013,Using Meta-ethnography to Synthesize Research: A Worked Example of the Relations between Personality and Software Team Processes.,UFPE,Fabio Q. B. da Silva; Shirley S. J. O. Cruz; Tatiana B. Gouveia; Luiz Fernando Capretz
2015,Aggregating Empirical Evidence about the Benefits and Drawbacks of Software Reference Architectures.,COPPE/UFRJ,Silverio Martínez-Fernández; Paulo Sérgio Medeiros dos Santos; Claudia P. Ayala; Xavier Franch; Guilherme Horta Travassos
2015,Assessing Semistructured Merge in Version Control Systems: A Replicated Experiment.,UFPE,Guilherme Cavalcanti; Paola R. G. Accioly; Paulo Borba
2015,Investigating Samples Representativeness for an Online Experiment in Java Code Search.,COPPE/UFRJ,Rafael Maiani de Mello; Kathryn T. Stolee; Guilherme H. Travassos
2016,Evidence Briefings: Towards a Medium to Transfer Knowledge from Systematic Reviews to Practitioners.,UFPA; UFPE,Bruno Cartaxo; Gustavo Pinto 0001; Elton Vieira; Sérgio Soares
2016,The Innovative Behaviour of Software Engineers: Findings from a Pilot Case Study.,UFPE,Cleviton V. F. Monteiro; Fabio Q. B. da Silva; Luiz Fernando Capretz
2016,Towards a Substantive Theory of Decision-Making in Software Project Management: Preliminary Findings from a Qualitative Study.,UFPE,José Adson O. G. da Cunha; Fabio Q. B. da Silva; Hermano P. de Moura; Francisco J. S. Vasconcellos
2017,Common Bug-Fix Patterns: A Large-Scale Observational Study.,UFU,Eduardo Cunha Campos; Marcelo de Almeida Maia
2015,Data-Oriented Characterization of Application-Level Energy Optimization.,UFPA,Kenan Liu; Gustavo Pinto 0001; Yu David Liu
2017,On the Effectiveness of Bug Predictors with Procedural Systems: A Quantitative Study.,UFRGS,Cristiano Werner Araújo; Ingrid Nunes; Daltro José Nunes
2013,SPLat: lightweight dynamic analysis for reducing combinatorics in testing configurable systems.,UFPE,Chang Hwan Peter Kim; Darko Marinov; Sarfraz Khurshid; Don S. Batory; Sabrina Souto; Paulo Barros; Marcelo d'Amorim
2015,Iterative distribution-aware sampling for probabilistic symbolic execution.,UFPE,Mateus Borges; Antonio Filieri; Marcelo d'Amorim; Corina S. Pasareanu
2015,Summarizing and measuring development activity.,UFRN,Christoph Treude; Fernando Marques Figueira Filho; Uirá Kulesza
2016,Analyzing the validity of selective mutation with dominator mutants.,ICMC/USP,Bob Kurtz; Paul Ammann; Jeff Offutt; Márcio Eduardo Delamaro; Mariet Kurtz; Nida Gökçe
2016,TIPMerge: recommending experts for integrating changes across branches.,UFF,Catarina Costa; Jair Figueiredo; Leonardo Murta; Anita Sarma
