UFCG,1
UFPE; UFCG,1
UFRGS,2
CEFET/MG; UFMG,1
PUC-Rio; UFAL; UNB; UFCG,1
UNIFESP,1
PUC-Rio,2
UFU; UFMG,1
UTFPR; IME/USP; UFAM,1
IME/USP,1
ICMC/USP,4
PUC-Rio; UFAL; UFCG,1
 Representation,1
UFBA,2
 with a spice of ontology.",1
UFAL,1
PUC-Rio; UFMG,1
UTFPR; IME/USP,2
UFPE; UFCG; UNB,1
PUC-Rio; UFAL,1
PUC-Rio; UFRN,2
PUC Minas; UFMG,1
PUC-Rio; UFMS,1
UFAL; UFCG,2
UFRN,9
UFPE; UFPA,4
COPPE/UFRJ,2
UFMS; UFMG,7
UFAL; UFPE,1
UFPA; UTFPR; IME/USP,1
UFRN; UNB,1
UFMG; UFLA,1
UFF,2
UFSJ; UFRGS,1
UFPE,16
UFMG,6
UFPA,1
 source code transformations.",1
UFAM,1
UFPA; UFPE,1
UFU,4
TOTAL,92
